"v1_classe";"v2_classe";"Sign";"Number";"Frequence";"link_genus";"region"
"Cryptophyceae";"Dinophyceae";"+";11;0,00580168776371308;"Cryptophyceae-Dinophyceae";"2-Eastern Channel - North Sea"
"Bacillariophyceae";"Ciliophora";"-";10;0,00527426160337553;"Bacillariophyceae-Ciliophora";"2-Eastern Channel - North Sea"
"Chlorophyta";"Dinophyceae";"-";10;0,00527426160337553;"Chlorophyta-Dinophyceae";"2-Eastern Channel - North Sea"
"Bacillariophyceae";"Cryptophyceae";"-";9;0,00474683544303797;"Bacillariophyceae-Cryptophyceae";"2-Eastern Channel - North Sea"
"Dinophyceae";"Raphidophyceae";"+";8;0,00421940928270042;"Dinophyceae-Raphidophyceae";"2-Eastern Channel - North Sea"
"Bacillariophyceae";"Dictyochophyceae";"-";7;0,00369198312236287;"Bacillariophyceae-Dictyochophyceae";"2-Eastern Channel - North Sea"
"Dinophyceae";"Haptophyta";"+";7;0,00369198312236287;"Dinophyceae-Haptophyta";"2-Eastern Channel - North Sea"
"Chlorophyta";"Euglenozoa";"+";6;0,00316455696202532;"Chlorophyta-Euglenozoa";"2-Eastern Channel - North Sea"
"Cryptophyceae";"Dinophyceae";"-";6;0,00316455696202532;"Cryptophyceae-Dinophyceae";"2-Eastern Channel - North Sea"
"Dictyochophyceae";"Dinophyceae";"-";6;0,00316455696202532;"Dictyochophyceae-Dinophyceae";"2-Eastern Channel - North Sea"
"Euglenozoa";"Euglenozoa";"-";6;0,00316455696202532;"Euglenozoa-Euglenozoa";"2-Eastern Channel - North Sea"
"Bacillariophyceae";"Raphidophyceae";"+";5;0,00263713080168776;"Bacillariophyceae-Raphidophyceae";"2-Eastern Channel - North Sea"
"Ciliophora";"Dinophyceae";"-";5;0,00263713080168776;"Ciliophora-Dinophyceae";"2-Eastern Channel - North Sea"
"Dictyochophyceae";"Dinophyceae";"+";5;0,00263713080168776;"Dictyochophyceae-Dinophyceae";"2-Eastern Channel - North Sea"
"Bacillariophyceae";"Raphidophyceae";"-";3;0,00158227848101266;"Bacillariophyceae-Raphidophyceae";"2-Eastern Channel - North Sea"
"Ciliophora";"Euglenozoa";"+";3;0,00158227848101266;"Ciliophora-Euglenozoa";"2-Eastern Channel - North Sea"
"Ciliophora";"Euglenozoa";"-";3;0,00158227848101266;"Ciliophora-Euglenozoa";"2-Eastern Channel - North Sea"
"Chlorophyta";"Ciliophora";"+";2;0,00105485232067511;"Chlorophyta-Ciliophora";"2-Eastern Channel - North Sea"
"Chlorophyta";"Cryptophyceae";"+";2;0,00105485232067511;"Chlorophyta-Cryptophyceae";"2-Eastern Channel - North Sea"
"Ciliophora";"Cryptophyceae";"+";2;0,00105485232067511;"Ciliophora-Cryptophyceae";"2-Eastern Channel - North Sea"
"Cryptophyceae";"Euglenozoa";"+";2;0,00105485232067511;"Cryptophyceae-Euglenozoa";"2-Eastern Channel - North Sea"
"Cryptophyceae";"Euglenozoa";"-";2;0,00105485232067511;"Cryptophyceae-Euglenozoa";"2-Eastern Channel - North Sea"
"Euglenozoa";"Haptophyta";"-";2;0,00105485232067511;"Euglenozoa-Haptophyta";"2-Eastern Channel - North Sea"
"Chlorophyta";"Chlorophyta";"+";1;0,000527426160337553;"Chlorophyta-Chlorophyta";"2-Eastern Channel - North Sea"
"Chlorophyta";"Dictyochophyceae";"+";1;0,000527426160337553;"Chlorophyta-Dictyochophyceae";"2-Eastern Channel - North Sea"
"Chlorophyta";"Euglenozoa";"-";1;0,000527426160337553;"Chlorophyta-Euglenozoa";"2-Eastern Channel - North Sea"
"Chlorophyta";"Haptophyta";"+";1;0,000527426160337553;"Chlorophyta-Haptophyta";"2-Eastern Channel - North Sea"
"Ciliophora";"Ciliophora";"+";1;0,000527426160337553;"Ciliophora-Ciliophora";"2-Eastern Channel - North Sea"
"Ciliophora";"Dictyochophyceae";"+";1;0,000527426160337553;"Ciliophora-Dictyochophyceae";"2-Eastern Channel - North Sea"
"Ciliophora";"Haptophyta";"+";1;0,000527426160337553;"Ciliophora-Haptophyta";"2-Eastern Channel - North Sea"
"Ciliophora";"Raphidophyceae";"+";1;0,000527426160337553;"Ciliophora-Raphidophyceae";"2-Eastern Channel - North Sea"
"Cryptophyceae";"Dictyochophyceae";"+";1;0,000527426160337553;"Cryptophyceae-Dictyochophyceae";"2-Eastern Channel - North Sea"
"Cryptophyceae";"Haptophyta";"+";1;0,000527426160337553;"Cryptophyceae-Haptophyta";"2-Eastern Channel - North Sea"
"Dictyochophyceae";"Euglenozoa";"+";1;0,000527426160337553;"Dictyochophyceae-Euglenozoa";"2-Eastern Channel - North Sea"
"Dictyochophyceae";"Euglenozoa";"-";1;0,000527426160337553;"Dictyochophyceae-Euglenozoa";"2-Eastern Channel - North Sea"
"Dictyochophyceae";"Haptophyta";"-";1;0,000527426160337553;"Dictyochophyceae-Haptophyta";"2-Eastern Channel - North Sea"
"Dictyochophyceae";"Raphidophyceae";"+";1;0,000527426160337553;"Dictyochophyceae-Raphidophyceae";"2-Eastern Channel - North Sea"
